date,open,high,low,close,volume
11/10/2021,106.75,119.46,95.2,100.73,102091775
11/11/2021,114.625,125,108.01,122.99,83204116
11/12/2021,128.645,135.2,125.25,129.95,50345677
11/15/2021,130.8,152.53,127.51,149.36,64137104
11/16/2021,163.8,179.4699,153.78,172.01,92845532
11/17/2021,160.88,163,140.35,146.07,71153574
11/18/2021,136.81,138.78,120.15,123.38,63438075
11/19/2021,129.98,139.9,125.6,128.6,49142279
11/22/2021,123.88,124.93,106.91,118.11,40870651
11/23/2021,117.83,124,113,119.85,24879279
11/24/2021,119.38,120,113.4501,114.85,11478891
11/26/2021,111,114.4999,106.14,112.13,9864811
11/29/2021,115.85,122.25,113.6,119.77,13864378
11/30/2021,119.9,121.49,114.1001,119.76,20096543
12/1/2021,120.54,126.75,113.1,115.69,13263609
12/2/2021,114.17,118.45,107.75,110.77,10788144
12/3/2021,110.49,111.87,100,104.67,13705225
12/6/2021,106.36,117.48,100.32,116.78,19627489
12/7/2021,119.52,120.21,112.4,116.18,12173265
12/8/2021,116.22,123.4,112.82,122.12,12708661
12/9/2021,119.95,121.32,114.4,115.4,8452670
12/10/2021,115.71,118.01,110.801,114.66,8323174
12/13/2021,118.14,121.6399,113.95,118.9,14693373
12/14/2021,114.77,117.9,112.71,117.14,8038620
12/15/2021,115.47,116.7391,109.21,115,10772384
12/16/2021,116.76,117,107.06,108.87,11715577
12/17/2021,99.92,100.6,92.62,97.7,44423013
12/20/2021,94.8,96.4,88.4,89.98,16027597
12/21/2021,92.1904,98.42,92.05,96.82,12723884
12/22/2021,96.3876,98.8999,93.3918,96.34,8626733
12/23/2021,96.3505,97.8219,93.8144,96.84,5654936
12/27/2021,96.9,107.49,96.8,107.09,15464771
12/28/2021,105.04,106,101,102.87,8812335
12/29/2021,101.19,102.58,96.62,99.34,8736400
12/30/2021,98.852,105.29,98.66,103.42,10841094
12/31/2021,102.44,106.12,102.28,103.69,5797938
1/3/2022,106.14,106.55,100.25,102.72,8330801
1/4/2022,102.99,106.8,99.0137,101.39,12097071
1/5/2022,98.32,99.215,89.28,90.01,18543676
1/6/2022,91.88,92.03,75.13,87.33,39786185
1/7/2022,87.02,89.2699,81.6214,86.28,17487459
1/10/2022,83.5201,83.75,77.65,81.44,16605750
1/11/2022,78.94,86.5799,78.12,83.55,19872049
