date,open,high,low,close,volume
12/29/2022,127.282,129.7596,127.0234,128.893,75477458
12/30/2022,127.6996,129.2311,126.725,129.2112,77034209
1/3/2023,129.5593,130.1759,123.4831,124.3781,111895669
1/4/2023,126.188,127.944,124.3881,125.661,88452110
1/5/2023,126.4267,127.0632,124.0698,124.3284,79945171
1/6/2023,125.3129,129.5692,124.1991,128.9029,86818559
1/9/2023,129.7433,132.672,129.1714,129.43,70496600
1/10/2023,129.5394,130.5374,127.4112,130.0068,63427651
1/11/2023,130.5239,132.7714,129.7383,132.7515,69114397
1/12/2023,133.1394,133.5173,130.7129,132.672,71247695
1/13/2023,131.2996,134.1736,130.9316,134.0145,57809719
1/17/2023,134.0841,136.5305,133.388,135.188,63413180
1/18/2023,136.0581,137.8432,134.283,134.462,68708475
1/19/2023,133.3383,135.4963,133.03,134.5217,58069186
1/20/2023,134.5316,137.2565,133.4775,137.1073,79804704
1/23/2023,137.3559,142.5222,137.1371,140.3294,81560240
1/24/2023,139.5288,142.368,139.5239,141.7415,63683440
1/25/2023,140.1106,141.6421,138.0421,141.0752,64686224
1/26/2023,142.378,143.452,141.115,143.1636,53629541
1/27/2023,142.3631,146.4155,142.2885,145.1227,70387223
1/30/2023,144.1531,144.7448,142.0597,142.2089,62974413
1/31/2023,141.9106,143.5415,141.4929,143.4918,65560459
2/1/2023,143.1735,145.7989,140.5382,144.6255,76744722
2/2/2023,148.0763,150.3437,147.3503,149.9857,102384003
2/3/2023,147.2111,156.5094,147.0122,153.6453,153457010
2/6/2023,151.7309,152.253,149.9459,150.8906,68013573
2/7/2023,149.8067,154.3713,149.8067,153.7945,83109099
2/8/2023,153.0287,153.7249,150.3317,151.0796,63384498
2/9/2023,152.9243,153.4762,149.5879,150.0354,54893763
2/10/2023,148.8596,150.7321,148.6205,150.4033,57344154
2/13/2023,150.3456,153.6403,150.3137,153.2319,61854314
2/14/2023,151.5089,153.1522,150.2539,152.5845,60250160
2/15/2023,152.4949,154.8753,152.2658,154.706,65470978
2/16/2023,152.8933,155.702,152.7314,153.0925,66819418
2/17/2023,151.7379,152.3853,150.244,151.9371,59144118
2/21/2023,149.5966,150.6922,147.8088,147.8835,62154441
2/22/2023,148.2719,149.3476,146.5688,148.3118,50709507
2/23/2023,149.487,149.736,146.6485,148.7998,48310635
2/24/2023,146.519,146.5987,145.1348,146.1206,55215775
2/27/2023,147.1166,148.5707,146.8576,147.3257,44881116
2/28/2023,146.4592,148.4811,146.2401,146.8178,50344972
3/1/2023,146.2401,146.637,144.4274,144.7262,55210651
3/2/2023,143.8,146.1206,143.3219,145.3238,51791603
3/3/2023,147.4502,150.5029,146.7381,150.4233,70489574
3/6/2023,153.1672,155.6721,152.8435,153.212,87250103
3/7/2023,153.0825,153.4111,150.5228,150.991,55563349
3/8/2023,152.1961,152.8534,151.22,152.2559,47065988
3/9/2023,152.9421,153.9142,149.6215,149.985,53450431
3/10/2023,149.6065,150.3336,147.0166,147.9034,68163699
3/13/2023,147.2112,152.5248,147.1066,149.8655,84311682
3/14/2023,150.6722,152.7837,149.497,151.977,73014818
3/15/2023,150.5826,152.6294,149.3177,152.3754,75960127
3/16/2023,151.5487,155.8314,151.0308,155.2239,76016995
3/17/2023,155.453,156.1103,153.6602,154.3773,98421296
3/20/2023,154.447,157.186,153.5307,156.7677,73514180
3/21/2023,156.688,158.7596,155.9111,158.6401,73755983
3/22/2023,158.66,161.4886,157.176,157.1959,69164919
3/23/2023,158.1919,160.9011,157.0465,158.2915,67219852
3/24/2023,158.2218,159.6958,157.2159,159.6062,57078234
3/27/2023,159.2975,160.1241,157.2358,157.6441,50400777
3/28/2023,157.3354,157.8533,155.3534,157.0167,45580412
3/29/2023,158.7297,160.403,158.7098,160.1241,50415453
3/30/2023,160.8811,161.8173,160.6231,161.7077,46805370
3/31/2023,161.7874,164.3371,161.2595,164.2375,68305010
4/3/2023,163.6101,165.6219,163.5603,165.5024,54893192
4/4/2023,165.9257,166.1697,164.4467,164.9646,44435155
4/5/2023,164.0782,164.3869,161.15,163.1021,51416166
4/6/2023,161.7775,164.2957,161.3492,163.9985,45390123
4/10/2023,160.7715,161.3791,159.4369,161.3791,47026287
4/11/2023,161.6978,161.7077,159.8652,160.154,46298026
4/12/2023,160.5723,161.4089,159.1381,159.4568,48348151
4/13/2023,160.9807,165.1339,160.7715,164.8949,67156588
4/14/2023,163.9288,165.6518,163.1619,164.5463,48081262
4/17/2023,164.4268,164.7256,163.371,164.5662,40713618
4/18/2023,165.4327,166.7374,164.9845,165.8012,48417320
4/19/2023,165.1339,167.4844,164.875,166.9566,47237478
4/20/2023,165.4227,167.1956,164.8949,165.9805,52216709
4/21/2023,164.3869,165.7834,163.8292,164.357,56828963
4/24/2023,164.3371,164.9347,163.2316,164.6658,38958536
4/25/2023,164.5264,165.6369,163.0722,163.1121,48166078
4/26/2023,162.3999,164.616,162.146,163.1021,44122192
4/27/2023,164.5264,167.8828,164.5264,167.7334,64232732
4/28/2023,167.8131,169.1676,167.2057,168.9983,55096276
5/1/2023,168.5999,169.7652,167.9625,168.9087,49391604
5/2/2023,169.4067,169.6656,166.8669,167.8629,47986184
5/3/2023,168.819,170.2333,166.4885,166.7773,59438769
5/4/2023,164.2276,166.3689,163.6499,165.124,70216187
5/5/2023,170.2881,173.5998,170.074,172.8727,112913525
5/8/2023,171.7871,173.1516,171.4186,172.803,50868643
5/9/2023,172.3548,172.8428,170.9106,171.0799,45129781
5/10/2023,172.3249,173.3309,171.2094,172.8578,53596681
5/11/2023,173.1516,173.8886,171.4783,173.052,49376730
5/12/2023,173.163,173.6018,170.5499,172.1158,45360284
5/15/2023,172.7042,172.7541,171.0186,171.6171,37184744
5/16/2023,171.5373,172.6826,171.3469,171.6171,41997436
5/17/2023,171.258,172.4698,169.9715,172.2354,57804727
5/18/2023,172.5446,174.7787,172.1257,174.5892,65090199
5/19/2023,175.9257,175.9257,174.4795,174.6989,55592970
5/22/2023,173.522,174.2501,172.9934,173.7415,43290759
5/23/2023,172.6743,172.923,170.8242,171.1084,49178391
5/24/2023,170.6396,171.9645,170.0711,171.3877,43488585
5/25/2023,171.9562,173.4373,171.2381,172.5346,55919420
5/26/2023,172.8638,175.3073,172.6543,174.9682,54834975
5/30/2023,176.4942,178.5189,176.1052,176.8333,55768902
5/31/2023,176.8582,178.8779,176.2947,176.7834,99466662
6/1/2023,177.2322,179.6459,176.4649,179.616,65407833
6/2/2023,180.5535,181.3015,178.7881,180.4737,59941942
6/5/2023,182.1493,184.4642,177.5664,179.1073,121391117
6/6/2023,179.4913,179.6459,176.963,178.7383,64341275
6/7/2023,177.9703,180.733,176.8532,177.3519,61622174
6/8/2023,177.4267,180.364,176.9929,180.0947,50046191
6/9/2023,181.0222,181.7503,180.1545,180.4837,48781462
6/12/2023,180.7929,183.406,180.4936,183.3062,53563704
6/13/2023,182.3188,183.6653,181.9598,182.8275,54648141
6/14/2023,182.8873,183.9046,181.5409,183.4658,56522724
6/15/2023,183.4758,186.029,183.2962,185.5204,65278114
6/16/2023,186.2385,186.4978,183.785,184.4332,101256225
6/20/2023,183.9246,185.6101,183.9246,184.523,49702249
6/21/2023,184.4133,184.922,182.1095,183.4758,49358723
6/22/2023,183.2564,186.5527,183.1865,186.5078,50841516
6/23/2023,185.0616,187.0663,184.523,186.1886,53079244
6/26/2023,186.3382,187.555,184.7424,184.7823,47877203
6/27/2023,185.4007,187.8941,185.1813,187.565,49726579
6/28/2023,187.4353,189.4001,187.1062,188.7518,50900483
6/29/2023,188.5823,189.5697,188.4427,189.091,45489346
6/30/2023,191.1256,193.9681,190.7566,193.4594,84376271
7/3/2023,193.2699,193.3697,191.2552,191.9534,31458198
7/5/2023,191.0608,192.472,190.1182,190.8264,46585212
7/6/2023,189.3403,191.5146,188.702,191.3051,44995399
7/7/2023,190.9062,192.1628,189.7392,190.1781,46599545
7/10/2023,188.7618,189.4899,186.5427,188.1135,59094573
7/11/2023,188.6621,188.8017,186.1088,187.5849,46485870
7/12/2023,189.1807,191.1954,187.9739,189.2705,59702142
7/13/2023,189.9986,190.6867,189.2805,190.0385,40134339
