date,open,high,low,close,volume
5/10/2023,289.9695,291.0492,284.5338,288.7698,36846209
5/11/2023,288.8798,289.4196,282.3816,285.7007,32119602
5/12/2023,285.2108,287.7201,280.3821,283.3213,27375738
5/15/2023,285.0059,289.6096,281.4419,289.4496,29303275
5/16/2023,288.3299,298.6171,288.24,292.0489,44769506
5/17/2023,295.7579,301.9062,294.2184,301.6962,42531033
5/18/2023,304.0156,318.1917,303.1158,316.6921,73892125
5/19/2023,315.2725,315.7123,309.0742,312.5532,46743508
5/22/2023,308.9242,315.1125,306.7148,311.6735,36967690
5/23/2023,309.9139,312.7932,306.225,306.7948,35465380
5/24/2023,302.0161,305.985,297.9773,305.2952,55205507
5/25/2023,385.1231,394.6904,366.2483,379.6946,153870943
5/26/2023,378.7948,391.5913,375.3958,389.3519,71439676
5/30/2023,405.8373,419.2636,399.3791,400.9987,91423698
5/31/2023,394.7704,402.8381,378.115,378.235,99882681
6/1/2023,384.7832,400.3888,383.2936,397.5896,62365927
6/2/2023,400.8587,404.8876,390.4717,393.1608,48063288
6/5/2023,388.982,395.5405,386.9626,391.6013,39408637
6/6/2023,388.1922,391.4913,381.3741,386.4327,37992399
6/7/2023,389.0835,394.9225,373.4962,374.686,50802869
6/8/2023,377.1755,388.5736,374.9859,385.0342,41559164
6/9/2023,390.3033,397.0421,385.6041,387.6338,42446193
6/12/2023,391.933,395.2324,386.114,394.7525,38436504
6/13/2023,401.7913,410.9398,397.3321,410.1499,60766986
6/14/2023,408.1702,429.9265,405.4507,429.8965,72934577
6/15/2023,425.9472,432.816,421.398,426.4571,56671548
6/16/2023,434.4258,437.1353,426.5321,426.8471,65570941
6/20/2023,429.9065,439.8248,426.6671,438.0051,44796268
6/21/2023,434.9357,436.0755,420.7281,430.3764,54746091
6/22/2023,422.4578,434.1808,422.2678,430.1765,40810251
6/23/2023,424.5674,428.0169,420.0782,422.0179,35601754
6/26/2023,424.5374,427.5669,400.9315,406.2506,58999101
6/27/2023,407.9203,419.3283,404.4109,418.6884,44789425
6/28/2023,406.5305,418.3785,405.1108,411.0997,57991324
6/29/2023,415.509,415.9289,405.9306,408.1502,37374578
6/30/2023,416.7288,425.4273,414.9391,422.9477,49519295
7/3/2023,425.0973,428.9067,421.9479,424.0575,19820919
7/5/2023,421.278,431.6962,420.7781,423.0977,32200868
7/6/2023,418.3685,421.7179,413.3894,420.9581,30255857
7/7/2023,423.1477,432.0662,421.7279,424.9574,35453083
7/10/2023,426.4971,428.0368,416.4188,421.7279,34681852
7/11/2023,424.7374,427.5069,420.5981,423.9775,29760752
7/12/2023,430.2565,439.2749,427.6997,438.945,47494334
7/13/2023,445.1039,461.4711,444.844,459.6914,46979400
7/14/2023,465.7485,480.7978,450.523,454.6123,76774722
7/17/2023,462.8109,464.8806,452.5468,464.5306,50489060
7/18/2023,466.9302,478.8781,457.2619,474.8588,56567364
7/19/2023,474.5589,478.0983,467.3401,470.6896,42069500
7/20/2023,464.9905,470.7895,450.543,455.1222,53183537
7/21/2023,457.8018,458.5816,440.9246,443.0143,79084866
7/24/2023,447.2336,451.0129,440.3247,446.0438,36649332
7/25/2023,449.3332,461.7461,449.1532,456.7119,33704231
7/26/2023,460.1314,460.4513,446.2237,454.4423,36140646
7/27/2023,465.1105,473.869,457.4218,458.9216,45251107
7/28/2023,466.6003,470.1896,463.7307,467.4201,32534130
7/31/2023,467.4601,471.2195,464.9806,467.2102,24980560
8/1/2023,464.5156,468.9199,460.1914,464.9905,23362746
8/2/2023,458.2317,458.3217,433.7959,442.6144,52587115
8/3/2023,437.9252,451.1029,437.9252,445.0739,32130169
8/4/2023,449.7731,456.342,443.8541,446.7237,36014592
8/7/2023,451.0329,455.3222,445.5584,454.0874,32052464
8/8/2023,448.4534,452.3427,440.4848,446.5637,35076273
8/9/2023,442.6643,443.0443,421.268,425.4673,57893349
8/10/2023,421.528,435.6655,418.2785,423.8076,48884251
8/11/2023,417.4387,420.1082,406.3206,408.4802,53030882
8/14/2023,404.7908,437.9252,403.0411,437.4552,67535798
8/15/2023,445.5239,452.6026,437.0253,439.3249,67185048
8/16/2023,445.1239,446.6737,433.9858,434.7857,52238024
8/17/2023,439.6249,440.5447,429.9365,433.3609,44864930
8/18/2023,426.2771,435.7054,416.5288,432.916,58015938
8/21/2023,444.864,470.5696,442.1444,469.5897,68618240
8/22/2023,481.2677,481.7877,453.2535,456.602,74938827
8/23/2023,458.5816,471.9193,452.0028,471.0795,65275843
8/24/2023,502.0742,502.5741,471.5094,471.5494,114332956
8/25/2023,470.0397,477.9683,450.1631,460.1014,92034625
8/28/2023,464.7406,469.7197,448.8033,468.27,68268652
8/29/2023,466.5803,490.7261,463.8308,487.7566,69598037
8/30/2023,490.3562,499.1847,484.1673,492.5558,72021140
8/31/2023,493.7156,497.355,489.4963,493.4657,51985449
9/1/2023,497.535,497.9149,481.3337,485.0071,46383030
9/5/2023,482.1476,488.4246,478.5182,485.397,37248967
9/6/2023,484.3684,485.4483,465.76,470.5696,46716287
9/7/2023,455.2109,463.4002,451.4812,462.3703,43190693
9/8/2023,459.3805,466.02,452.6711,455.6809,45431533
9/11/2023,461.4404,461.5903,443.0819,451.7412,46579340
9/12/2023,447.3416,456.6908,445.2718,448.6615,34274870
